"Reg","Type","CN","Manufacturer","Owner","DateRegistered","Status"
"5Y-ADR","PIPER PA18-150","18-8396","PIPER AIRCRAFT COMPANY","M/A BHOGAL SINGH & AMOS DAYANP. O. BOX 294NAKURU.","","EXPIRED"
"5Y-ADW","CESSNA 180","31683","CESSNA AIRCRAFT COMPANY","KENYA WILDLIFE SERVICES P.O. BOX 54582NAIROBI","1990-08-31","VALID"
"5Y-AEZ","MOONEY M. 20F","670160","","LAPWING LTD.P. O. BOX 57792 NAIROBI.","","EXPIRED"
"5Y-AFD","CESSNA TU-206B","U206-0724","CESSNA AIRCRAFT COMPANY","SOUTHERN CROSS SAFARISA (LTD) MSA P. O. BOX 90653 MOMBASA KENYA","2004-12-31","VALID"
"5Y-AFJ","CESSNA TU206 B","U206-0775","CESSNA AIRCRAFT COMPANY","ALVADAN HOLDINGS LTD BOX 15062 NAIROBI","","EXPIRED"
"5Y-AFL","MOONEY M20F","670230","","TORBEN PETER RUNEP.O. BOX 227NAIVASHA","2002-07-31","EXPIRED"
"5Y-AFM","NAVION RANGE MASTER","NAV 4-2500","","NICOLAS HENDRICK CLAASEN KARL WEHNER CLAASENP.O. BOX 55278NAIROBI","2004-11-31","EXPIRED"
"5Y-AGV","PIPER PA23","23-1934","PIPER AIRCRAFT COMPANY","INDUS CONSULTANTS LTD.P.O. BOX 55847 NAIROBI.","","EXPIRED"
"5Y-AGZ","BEECH BARON 55","TE-440","BEECH AIRCRAFT COMPANY","G. FORNOP. O. BOX 20442NAIROBI.","","EXPIRED"
"5Y-AHA","PIPER PA28-235","28-10931","PIPER AIRCRAFT COMPANY","NICOLA MARGARET PARAZZIP. O. BOX 216WATAMU","2003-07-31","VALID"
"5Y-AHK","CESSNA U206-D","U206-1345","CESSNA AIRCRAFT COMPANY","ALS LTD P. O.BOX 41937NAIROBI","","EXPIRED"
"5Y-AHL","CESSNA 401","401-0193","CESSNA AIRCRAFT COMPANY","OLDONYO LARO ETATE LTDP. O. BOX 140-00502 NAIROBI FINANCIER: CFC BANK LIMITED P.O. BOX 72833-00200 NAIROBI","2008-11-31","VALID"
"5Y-AHM","CESSNA","180H-180-51929","CESSNA AIRCRAFT COMPANY","OWNER:EDMUND MARCUS TOBIES RUSTAT HEMSTED P. O. BOX 1262NAKURU","1988-03-31","VALID"
"5Y-AHU","PIPER","PA,32-300,32-40470","PIPER AIRCRAFT COMPANY","MR. A. SALEL SAIDP.O. BOX 82693MOMBASA.","","EXPIRED"
"5Y-AHZ","CESSNA","U206C-U206-1096","CESSNA AIRCRAFT COMPANY","LAPWING LIMITEDP. O. BOX 57792NAIROBI","1995-05-31","VALID"
"5Y-AIS","BEECH BARON D55","TE-660","BEECH AIRCRAFT COMPANY","Z. BOSCOVIC AIR CHARTERS LTD, P. O. BOX 45646, NAIROBI, ","1973-03-31","VALID"
"5Y-AIU","CESSNA 210J","210-59115","CESSNA AIRCRAFT COMPANY","MR. G. FORNOP.O. BOX 20442NAIROBI.","","EXPIRED"
"5Y-AIW","DHC2 BEAVER MK.1","1596","","DESERT LOCUST CONTROL ORG E.A P.O. BOX 30023 NAIROBI.","1968-12-31","EXPIRED"
"5Y-AJA","PIPER PA32-300","32-40203","PIPER AIRCRAFT COMPANY","JAMES KANYITA NDERITUP.O. BOX 73893NAIROBI","","EXPIRED"
"5Y-AJH","PIPER PA30","30-1778","PIPER AIRCRAFT COMPANY","JOHN MAURICE CLEAVE P.O. BOX 99213 MOMBASA","1983-05-31","EXPIRED"
"5Y-AJT","PIPER PA28-235","28-11240","PIPER AIRCRAFT COMPANY","KARSTAD ELSEN LARS, P. O. BOX 24371-00502 , NAIROBI, ","2006-08-31","VALID"
"5Y-AJX","PIPER PA32-300","32-40619","PIPER AIRCRAFT COMPANY","AFRICAN EXPRESS AIRWAYS (K) LTD.& KENYA NATIONAL ASSURANCE CO. LTD.P.O. BOX 43356NAIROBI.","1987-05-31","EXPIRED"
"5Y-AKH","CESSNA 182M","182-599905","CESSNA AIRCRAFT COMPANY","ANTHONY IRLAM BARLOW P.O. BOX 166 GILGIL","1994-10-31","VALID"
"5Y-AKL","CESSNA R172 FR.","172-0153","CESSNA AIRCRAFT COMPANY","G. A. SMITH P. O. BOX 728 ELDORET","2006-02-31","VALID"
"5Y-AKM","CESSNA FR 172G REIMS ROCKET","172-0150","CESSNA AIRCRAFT COMPANY","PETRUS JOHANNES VISSER, P.O. BOX 1801,20117 NAIVASHA., ","2002-12-31","VALID"
"5Y-AKP","CESSNA U206","U206-1434","CESSNA AIRCRAFT COMPANY","DAVID ALLENP.O. BOX 14712, NAIROBI","1987-11-31","VALID"
"5Y-AKS","PIPER PA.32-300","32-40673","PIPER AIRCRAFT COMPANY","AWADH SALEH SAID P.O. BOX 82693 NAIROBI.","","EXPIRED"
"5Y-AKT","CESSNA","180E-180-51068","CESSNA AIRCRAFT COMPANY","KENYA WILDLIFE SERVICES P.O. BOX 54582 NAIROBI.","1990-08-31","VALID"
"5Y-AKU","CESSNA U206","U206-1438","CESSNA AIRCRAFT COMPANY","G. FORNO, P.O. BOX 20442,, NAIROBI., ","1971-07-31","EXPIRED"
"5Y-AKX","CESSNA","U206E-U206-1483","CESSNA AIRCRAFT COMPANY","WANANCHI GAME (K) LTD.& NATIONAL INDUSTRIAL CREDIT (EA)P.O. BOX 44924,NAIROBI.","1993-12-31","VALID"
"5Y-AKZ","PIPER PA.28-235","2811304","PIPER AIRCRAFT COMPANY","TRANSWORLD SAFARIS (K) LTD.,, P.O. BOX 44660,, NAIROBI., ","","EXPIRED"
"5Y-ALA","PIPER PA.31","31-541","PIPER AIRCRAFT COMPANY","ESMAEL MOHAMMED JIBRIL P.O. BOX 10950,NAIROBI.","","EXPIRED"
"5Y-ALC","PIPER PA.32-300","32-40855","PIPER AIRCRAFT COMPANY","MALINDI AIR SERVICES LTD. & CREDIT FINANCE CORP. P.O. BOX 146, MALINDI.&P. O. BOX 72833NAIROBI","","EXPIRED"
"5Y-ALJ","PIPER PA28-200","28R-3507","PIPER AIRCRAFT COMPANY","PRISCILLA MARY RANSLEY, P. O. BOX 41386,00100, NAIROBI, KENYA, ","2007-08-31","VALID"
"5Y-ALM","SIAI MARCHETTI","S-208","","IMPRESS DEL BENANCO S.P.A. P. O. BOX 48596, NAIROBI.","","EXPIRED"
"5Y-ALU","CESSNA FR.172-G","FR.172-0217","CESSNA AIRCRAFT COMPANY","PHILIP ALEXANDER GORDON FIELDP.O. BOX 159, NANYUKI.","","EXPIRED"
"5Y-ALW","CESSNA 172-L","172-59238","CESSNA AIRCRAFT COMPANY","GARY DAVID SPOORS & SURJEET SINGH JUTLA P.O. BOX 46968 NAIROBI.","","EXPIRED"
"5Y-ALX","CESSNA FR.172C","172-0220","CESSNA AIRCRAFT COMPANY","MRS. HEDDA STEYN, P.O. BOX 44924,, NAIROBI., ","1993-12-31","VALID"
"5Y-ALY","CESSNA U206","U206-02266","CESSNA AIRCRAFT COMPANY","OWNER:NICHOLAS SETON, BRIAN WALTER SHEPARDP.O BOX 42730-001000NAIROBI","2004-09-31","VALID"
"5Y-AMB","CESSNA 310Q","C310Q-O116","CESSNA AIRCRAFT COMPANY","PANAYOTIS COMISP.O. BOX 663 NAKURU.","","EXPIRED"
"5Y-AMC","CESSNA 310Q","C310Q-0116","CESSNA AIRCRAFT COMPANY","SAFARI AIR SERVICES LTD. P.O. BOX 41951 NAIROBI.","","EXPIRED"
"5Y-AMD","CESSNA 402A","402A-0120","CESSNA AIRCRAFT COMPANY","SAFARI AIR SALES LTD.P.O. BOX 41951 NAIROBI.","","EXPIRED"
"5Y-AMI","CESSNA FR.172C","FR.172-0219","CESSNA AIRCRAFT COMPANY","C.J. AVIATION INVESTMENT LTD , P.O. BOX 30125,, NAIROBI., ","","EXPIRED"
"5Y-AMK","PIPER PA.18-150","18-7904","PIPER AIRCRAFT COMPANY","CHIPPERFIELD ORGANISATIONP.O. BOX 10367NAIROBI.","","EXPIRED"
"5Y-AMM","HERIO COURIER II","2505","","NARCK RENE LEKEU, P.O. BOX 24696,, NAIROBI., ","2004-07-31","EXPIRED"
"5Y-AMP","CESSNA FR.172-G-","0213","CESSNA AIRCRAFT COMPANY","Z. BOSKOVIC AIR CHARTERS P.O. BOX 45646NAIROBI.","1985-05-31","EXPIRED"
"5Y-AMX","CESSNA 310Q","310Q-0130","CESSNA AIRCRAFT COMPANY","IMPRESSA DEL BENACO S.P.A CREDIT FINANCE CORP. & SAFARI AIR SERVICESP.O. BOX 48596,NAIROBI.","","EXPIRED"
"5Y-ANA","BELL-47-G-3B-2","6778","BELL HELICOPTER COMPANY","KENYA POLICE AIRWING P.O. BOX 30083NAIROBI.","1983-08-31","EXPIRED"
"5Y-ANC","BEECH BARON 95-B55","TC-1392","BEECH AIRCRAFT COMPANY","BEAUFIELD LTD.P.O. BOX 43239NAIROBI.","","EXPIRED"
"5Y-ANE","BEECH BARON 58  TH","168","BEECH AIRCRAFT COMPANY","TRUST BANK LTD., SUPERIOR AVIATIONSERVICES LTD.P.O. BOX 42339 NAIROBI.","","EXPIRED"
"5Y-ANF","BEECH BARON E.55","TE-845","BEECH AIRCRAFT COMPANY","ZINGIWA LTD. P.O. BOX 48701 NAIROBI.","","EXPIRED"
"5Y-ANM","BEECH BARON 95-E55","TC-1377","BEECH AIRCRAFT COMPANY","ALLIED CONTRACTORS LTD. P.O. BOX 47160, NAIROBI.","","EXPIRED"
"5Y-ANV","BN2A-21 ISLANDER","C-284","","PETER REKEE WEKESA P.O. BOX 30357NAIROBI.","1993-06-31","EXPIRED"
"5Y-ANW","PIPER PA.12","12-1398","PIPER AIRCRAFT COMPANY","W.H. HOLZ & DENISE D. MORCHARD P.O. BOX 56908 NAIROBI.","","EXPIRED"
"5Y-AOG","CESSNA FR. 172H","172-0280FR","CESSNA AIRCRAFT COMPANY","MR. M.A.A.HARRIES, P.O. BOX 40,, THIKA., ","1974-03-31","VALID"
"5Y-AOH","CESSNA 180","31315","CESSNA AIRCRAFT COMPANY","STEVEN COBB P.O. BOX 48177NAIROBI.","","EXPIRED"
"5Y-AOJ","BEECH BARON E55","TE-851","BEECH AIRCRAFT COMPANY","LAPWING LTD P.O. BOX 57792NAIROBI.","1996-09-31","EXPIRED"
"5Y-AOO","CESSNA U206F","U206-1710","CESSNA AIRCRAFT COMPANY","LUCA SAFARIS LTDP.O. BOX 236 MTITO ANDEI.","2005-04-31","VALID"
"5Y-AOT","CESSNA 185-E","185-1483","CESSNA AIRCRAFT COMPANY","TEMBO OPERATIONS LTD.P.O. BOX 54667 NAIROBI.","1984-01-31","EXPIRED"
"5Y-AOY","`BN'.2A MARK III `TRISLANDER'","C. 320","BRITTEN-NORMAN LTD","COOPER SKYBIRD AIRCHARTERS LTD.P.O. BOX 99222MOMBASA.","1983-03-31","EXPIRED"
"5Y-APE","PIPER","PA.20,20-820","PIPER AIRCRAFT COMPANY","KARI KAMPL P.O. BOX 47384 NAIROBI","","EXPIRED"
"5Y-APG","CESSNA FR.172H FR.","172-0321","CESSNA AIRCRAFT COMPANY","SUPERIOR AVIATION SERVICESP.O BOX BOX 42339 NAIROBI","","VALID"
"5Y-APH","CESSNA FR. 172L-","0860","CESSNA AIRCRAFT COMPANY","SURJEET SINGH P.O. BOX 46968NAIROBI","2001-07-31","EXPIRED"
"5Y-APO","BEECH BARON E55","-TE-875","BEECH AIRCRAFT COMPANY","AVIALL LTD P. O. BOX 45261NAIROBI. ","1989-05-31","VALID"
"5Y-APP","BEECH BARON E55","TE-876","BEECH AIRCRAFT COMPANY","SUPERIOR AVIATION SERVICES LTD P.O. BOX 42339 NAIROBI.","","EXPIRED"
"5Y-APW","CESSNA 182-P","182-61606","CESSNA AIRCRAFT COMPANY","ANDREW LUIS FERNANDES & RICHARD LUIS FERNANDES, P.O. BOX 210 , NANYUKI 10400., ","2006-09-31","VALID"
"5Y-ARA","PIPPER PA.34-200","34-725063","PIPER AIRCRAFT COMPANY","ROY DAMERALL NDISI P.O. BOX 88153MOMBASA.","","EXPIRED"
"5Y-ARD","CESSNA ER.172J","FR. 172-0354","CESSNA AIRCRAFT COMPANY","SUSAN MAUREEN TREMPENAU P.O. BOX 60157 NAIROBI.","","EXPIRED"
"5Y-ARE","CESSNA","FR.150-L-FRA-150-0168","CESSNA AIRCRAFT COMPANY","KENYA AERONAV P.O. BOX 74714 NAIROBI","1999-03-31","EXPIRED"
"5Y-ARF","CESSNA","180-31089","CESSNA AIRCRAFT COMPANY","KEVIN IAN NOLAN NEYLANP. O. BOX 115NAKURU","1976-02-31","VALID"
"5Y-ARL","PIPER PA.23-250","27-2138","PIPER AIRCRAFT COMPANY","SUNBIRD AVIATION LTD.& MR. J.P. MCREADYP.O. BOX 46247NAIROBI.","","EXPIRED"
"5Y-ARN","PIPER PA. 23-250","27-7304919","PIPER AIRCRAFT COMPANY","CASSMAN BROWN AIR SERVICES LTD. P.O. BOX 46247NAIROBI.","","EXPIRED"
"5Y-ARP","PIPER PA.32 - 300","32-7340008","PIPER AIRCRAFT COMPANY","AFRICAN EXPRESS AIRWAYS (K) LTD.& PAN AFRICAN BANK LTD. P.O. BOX 43356NAIROBI.","","EXPIRED"
"5Y-ART","CESSNA 210L-","210-59817","CESSNA AIRCRAFT COMPANY","PETER ERNST FRANK P. O. BOX 30624NAIROBI","2004-09-31","VALID"
"5Y-ARV","PIPER PA.31`NAVAJO'","31-7300958","PIPER AIRCRAFT COMPANY","AHMED MOHAMMED LIBAN P.O. BOX 57090NAIROBI.","","EXPIRED"
"5Y-ARW","PIPER PA.31'NAVAJO’","31-7300960","PIPER AIRCRAFT COMPANY","RIVERCROSS AIR SERVICES LTDP. O. BOX 51948NAIROBI& KENYA COMMERCIAL FINANCE COMPANY LTD P. O. BOX 21984NAIROBI.","2000-12-31","EXPIRED"
"5Y-ASB","PIPER PA.28-180","28-740501","PIPER AIRCRAFT COMPANY","DESIGN CONSTRUCTION& MATERIAL LTD., CREDIT FINANCE CORP. P.O. BOX 42748& 72833NAIROBI.","","EXPIRED"
"5Y-ASE","PIPER PA.28-235","28-7410005","PIPER AIRCRAFT COMPANY","FREDERICK NICHOLAS DAY P.O. BOX 34RUMURUTI.","","EXPIRED"
"5Y-ASH","PIPER PA.31-350","31-7405149","PIPER AIRCRAFT COMPANY","G. FORNO P.O. BOX 20442NAIROBI.","","EXPIRED"
"5Y-ASI","PIPER PA.31-350","31-7405158","PIPER AIRCRAFT COMPANY","KENYA AIR CHARTERSP.O. BOX 30603 NAIROBI.","","EXPIRED"
"5Y-ASK","CESSNA 182-P","182-62492","CESSNA AIRCRAFT COMPANY","MR. & MRS. M.R. HIGGIS, P.O. BOX 358, , NAIVASHA., , ","1980-11-31","VALID"
"5Y-ASL","CESSNA FRM-150-L","FRA-150-0228","CESSNA AIRCRAFT COMPANY","SUPERIOR AVIATION SERVICES LTD.,, P.O. BOX 42339,, NAIROBI., ","1990-07-31","VALID"
"5Y-ASM","CESSNA FRA.150","FRA.150-0229","CESSNA AIRCRAFT COMPANY","SAFARI AIR SERVICES LEASING LTD. P.O. BOX 41951NAIROBI.","","EXPIRED"
"5Y-ASO","CESSNA 402B","402B-O19","CESSNA AIRCRAFT COMPANY","AFRICAN EXPRESS AIRWAYS& PAN AFRICAN BANK LTD.P.O. BOX 43356 NAIROBI.","","EXPIRED"
"5Y-AST","PIPER PA.31-350","31-7405500-6","PIPER AIRCRAFT COMPANY","COOPER SKYBIRD AIRCHARTERS LTD.P.O. BOX 99222MOMBASA.","","EXPIRED"
"5Y-ASX","BEECH 95-B55","TC-615","BEECH AIRCRAFT COMPANY","S. E. BASTARDP.O. BOX 43806NAIROBI ","","EXPIRED"
"5Y-ASZ","PIPER PA. 18A-","18-7047","PIPER AIRCRAFT COMPANY","JOHN FRANCIS GILFRID DYER P.O. BOX 477 NANYUKI.","1991-05-31","EXPIRED"
"5Y-ATH","PIPER PA. 23-250","27-7305138","PIPER AIRCRAFT COMPANY","SUPERIOR AVIATION SERVICES LTD.P.O. BOX 42339NAIROBI.","","EXPIRED"
"5Y-ATI","CESSNA 402B","402B-0420","CESSNA AIRCRAFT COMPANY","HARROW INVESTMENTS (K) LTD.,P.O. BOX 57090NAIROBI.","2002-04-31","EXPIRED"
"5Y-ATJ","PIPER PA.31-350","31-73055011","PIPER AIRCRAFT COMPANY","TRANSWORLD SAFARIS (K) LTDP.O. BOX 44690NAIROBI.","1995-04-31","EXPIRED"
"5Y-ATN","CESSNA FR. 172 `REIMS ROCKER'","FR172-0475","REIMS AVIATION,FRANCE","OWNER:TROPICAN(AVIATION)LTD P.O BOX 44643-00100 NAIROBI","2007-07-31","EXPIRED"
"5Y-ATP","CESSNA 182P","182-61377","CESSNA AIRCRAFT COMPANY","Z. BOSKOVIC AIR CHARTERSP.O. BOX 45646NAIROBI.","","EXPIRED"
"5Y-ATR","CESSNA 310Q","310Q-0823","CESSNA AIRCRAFT COMPANY","AIRCRAFT LEASING SERVICES& BARCLAYS BANK OF KENYAP.O. BOX 41937NAIROBI","","EXPIRED"
"5Y-ATS","CESSNA 182K-","182-57915","CESSNA AIRCRAFT COMPANY","C. J. AVIATION INVESTMENTS LTD. P.O. BOX 30125NAIROBI.","1983-09-31","VALID"
"5Y-ATW","CESSNA","172M-172-61922","CESSNA AIRCRAFT COMPANY","NAIROBI FLIGHTNTRAINING LTDP.O BOX 16050-00100 NAIROBI","2007-03-31","VALID"
"5Y-ATZ","PIPER 18-150 SUPER CUB","18-8034","PIPER AIRCRAFT COMPANY","TOBY JAMES DUNN $ DONNO REX DUNN FARMLAND AVIATION LTD P.O.BOX 226-20100 NAKURU","2008-10-31","VALID"
"5Y-AUD","CESSNA 210L","210-60338","CESSNA AIRCRAFT COMPANY","ROBERT ANDERSON P.OBOX 124 KITALE","2000-04-31","VALID"
"5Y-AUE","CESSNA 182H","182-56291","CESSNA AIRCRAFT COMPANY","NICHOLAS SETONP.O BOX 42730NAIROBI","2004-09-31","VALID"
"5Y-AUH","CESSNA FR.172","172.0520","CESSNA AIRCRAFT COMPANY","BAINS CONSTR LTDP.O BOX 150 THIKA","1987-08-31","VALID"
"5Y-AUJ","CESSNA FRA.150-M","FRA 150-0267","CESSNA AIRCRAFT COMPANY","AGUSTINO ZAWADI MWITHIGA,P.O. BOX 74714,NAIROBI.","2001-04-31","VALID"
"5Y-AUN","CESSNA U206F","U206-02531","CESSNA AIRCRAFT COMPANY","Z.BOSKOVIC AIRCHARTERS LTD P.OBOX 45646 NAIROBI","1986-08-31","VALID"
"5Y-AUS","BEECH BARON E-55","TE-1022","BEECH AIRCRAFT COMPANY","OWNER:EVEREST INVESTMENT LTD LESSOR:QUEENSWAY AIR SERVICES LTD P.O BOX 42627 NAIROBI ","2002-10-31","EXPIRED"
"5Y-AUX","CESSNA","182P-182-63394","CESSNA AIRCRAFT COMPANY","THOMAS DEWITT TILSON P. O. BOX 36,00621 NAIROBI","2005-01-31","VALID"
"5Y-AUZ","CESSNA 401","402B-0634","CESSNA AIRCRAFT COMPANY","OWNER:GARISSA INDUSTRIES LTD P.O BOX 277, GARISSA.","1996-01-31","EXPIRED"
"5Y-AVA","CESSNA 205","205-0461","CESSNA AIRCRAFT COMPANY","A. VON AUERSPERG P.O. BOX 47173 NAIROBI.","","EXPIRED"
"5Y-AXB","BOEING 727-231","19565","BOEING AIRCRAFT COMPANY","OWNER: MUSA HASSAN BULHAN& GARISSA INDSTRIES LTD P. O. BOX 277,GARISSA.LESSEE AFRICAB AIRWAYS (LTD) P. O. BOX 19202 NAIROBI.","2001-06-31","EXPIRED"
"5Y-AXD","DOUGLAS","DC9-32-47088","BOEING AIRPLANE COMPANY","OWNER: COMTRAN INTL. INC,SAN ANTONIOP.O BOX TEXAS 78213USA. LESSEE: AFRICAN EXPRESS AIRWAYSP O BOX 19202 NAIROBI","2002-03-31","VALID"
"5Y-AXE","BOIENG 727-256","21611","BOEING AIRCRAFT COMPANY","OWER: GARISSA INDUSTRIES LTD P.O.BOX 277 GARISSA LESSEE:AFRICAN EXPRESS AIRWAYS P.OBOX 19202-00510 NAIROBI","2006-03-31","VALID"
"5Y-AXF","DOUGLAS DC9-32","47093","BOEING AIRPLANE COMPANY","OWNER: COMTRAN INTL INC,, 1550 JACKSON -KELLER ROAD SUITE 101,, SAN ANTONIO, TEXAS 78213,USA, LESSE AFRICAN EXPRESS AIRWAYS, P. O. BOX 19202,, NAIROBI., ","2002-05-31","VALID"
"5Y-AXI","BOEING 707-330B","18927","BOEING AIRCRAFT COMPANY","LESSOR OWNER: SEA GREEN AIR TRANSPORTP.O. BOX 392ANTIGUA LESSEE: AFRICAN AIRLINE INTL LTD. P.O. BOX 43356NAIROBI.","1900-01-31","EXPIRED"
"5Y-AXR","BOEING 707-350B","19634","BOEING AIRCRAFT COMPANY","OWNER: FRONTIER HOLDINGS LTD. P.O. BOX 277 GARISSA LESSEE: AFRICAN AIRLINE INTLP.O. BOX 74772 NAIROBI","","EXPIRED"
"5Y-AYC","DONIER WERKE AG MUNICK","DO 27-A-3/A4","","AEROCRAFT LTD.P.O. BOX 180NANYUKI","","EXPIRED"
"5Y-AYD","AERO COMMANDER 112A","276","","ANDREW P. JOHNSON & LILIAN M. JOHNSONP.O. BOX 30593 NAIROBI.","","EXPIRED"
"5Y-AYF","CESSNA FR.172J`REIMS ROCKET'","FR-172-0548","CESSNA AIRCRAFT COMPANY","M/S. ELECTRICAL SERVICES & NATIONAL INDUSTRIAL CREDITP.O. BOX 112NYERI & 44599NAIROBI.","","EXPIRED"
"5Y-AYG","CESSNA 172J `REIMS ROCKET'","FR-172-0535","CESSNA AIRCRAFT COMPANY","LAPWING LTD.P.O. BOX 57792NAIROBI.","","EXPIRED"
"5Y-AYH","BEECH","C23-M-1529","BEECH AIRCRAFT COMPANY","WILLIAM ANDREW KERRP. O. BOX 46588NAIROBI","1998-04-31","EXPIRED"
"5Y-AYJ","CESSNA 182P","182-635561","CESSNA AIRCRAFT COMPANY","M/S BHOGAL & CREDIT FINANCE CORPORATIONP.O. BOX 294 NAKURU.","","EXPIRED"
"5Y-AYK","CESSNA 182-P-","182-63523","CESSNA AIRCRAFT COMPANY","CARZAN FLOWERS (K) LTD P. O. BOX 1801 NAIVASHA 20117","2005-10-31","VALID"
"5Y-AYL","CESSNA 150M","FRA-150M-276","CESSNA AIRCRAFT COMPANY","M/S BAINS CONSTRUCTION LTD. P.O. BOX 150THIKA (K)","1983-09-31","EXPIRED"
"5Y-AYM","CESSNA","310R","CESSNA AIRCRAFT COMPANY","GARISSA INDUSTRIES LTD.P.O. BOX 277GARISSA.","","EXPIRED"
"5Y-AYN","CESSNA 182-P","183-63571","CESSNA AIRCRAFT COMPANY","TRISTAR MAARTEN VOORSPUY-DELORAINE ESTATEPRIVATE BAGRONGAI","2001-12-31","VALID"
"5Y-AYS","PIPER PA. 32-300","34-7570108","PIPER AIRCRAFT COMPANY","C.M.C. AVIATION LTD.P.O. BOX 44580 NAIROBI.","","EXPIRED"
"5Y-AYT","PIPER PA.28-235-","28-7510075","PIPER AIRCRAFT COMPANY","SEIYA LTD P.O. BOX 16656 NAIROBI","2004-12-31","VALID"
"5Y-AYU","CESSNA U206.","U206-02772","CESSNA AIRCRAFT COMPANY","OWNER:PETER WHITE FLYING SERVICES LTD P.O BOX 442 GILGIL 20116.","2007-07-31","VALID"
"5Y-AYX","RALLY MINERVA `MS894A-","11883","SUD AVIATION FRANCE","BARRY JOHN GAYMER P.O BOX 16NAIVASHA","","EXPIRED"
"5Y-AYY","CESSNA 310R","310R-0310","CESSNA AIRCRAFT COMPANY","AIRCRAFT LEASING SERVICES LTD.& KENYA FINANCE CORP.P.O. BOX 41937NAIROBI.","","EXPIRED"
"5Y-AYZ","CESSNA","310R-310R0121","CESSNA AIRCRAFT COMPANY","Z. BOSKOVIC AIRCHARTERS LTD P. O. BOX 45646,NAIROBI.","1975-03-31","VALID"
"5Y-AZA","PIPER PA.25","25-2486","PIPER AIRCRAFT COMPANY","NDAKAINI FARM,, P. O. BOX 24884,, NAIROBI., ","1991-11-31","VALID"
"5Y-AZD","CESSNA TU206-F","U206-2935","CESSNA AIRCRAFT COMPANY","STEPHEN KENNETH ROSE,, P. O. BOX 15102,, NAIROBI., ","2005-06-31","VALID"
"5Y-AZF","PIPER PA.25-235","25-7556134","PIPER AIRCRAFT COMPANY","AERIAL CROP SPRAY P.O. BOX 294NAKURU.","","EXPIRED"
"5Y-AZG","PIPER PA.28-180","28-7505225","PIPER AIRCRAFT COMPANY","CREDIT FINANCE CORP. & J.D. ROBINSONP.O. BOX 19122 NAIROBI.","","EXPIRED"
"5Y-AZH","PIPER PA 28-235","28-7510092","PIPER AIRCRAFT COMPANY","RALLY PARTS (K) LTD. & MERCHANTILE FINANCE CO. LTD. P.O. BOX 41937NAIROBI,","","EXPIRED"
"5Y-AZK","CESSNA TU 206F","206-02940","CESSNA AIRCRAFT COMPANY","SHEPARD AVIATION CONSULTANCYP.O. BOX 54582 NRBI","2000-01-31","VALID"
"5Y-AZN","PIPER PA.34-200T","34-760065","PIPER AIRCRAFT COMPANY","J.D. ROBINSON & C.M.C. HOLDINGSP.O. BOX 20029 NAIROBI.","","EXPIRED"
"5Y-AZO","CESSNA 210L","210-61059","CESSNA AIRCRAFT COMPANY","KENYA TRADE DEVELOPMENT AND CREDIT FINANCE CORPORATIONP.O. BOX 44916 NAIROBI","2008-03-31","VALID"
"5Y-AZR","CESSNA 182-P","182-64260","CESSNA AIRCRAFT COMPANY","Z. BOSKOVIC AIR CHARTERS LTD,, P. O. BOX 45646,, NAIROBI., ","1976-04-31","EXPIRED"
